1,IIT,Madras,1,JEE advance,366
2,IIT,Bombay,2,JEE advance,366
3,IIT,Delhi,4,JEE advance,366
4,BITS,Pilani,30,BITSAT,450
5,BITS,Goa,30,BITSAT,450
6,BITS,Hyderabad,30,BITSAT,450
7,IIIT,Bangalore,62,JEE mains,300
8,IIIT,Hyderabad,43,JEE mains,300
9,IIIT,Delhi,56,JEE mains,300
10,NIT,Surathkal,13,JEE mains,300
